counter,datetime,low,high,open,close,vol
399,20181028 220010 3280000,0,2668.5,2667.0,2668.0,1001
1002,20181028 220121 5780000,2666.75,2669.0,2668.0,2668.5,1001
1593,20181028 220442 7530000,2668.0,2669.5,2668.75,2668.0,1001
2123,20181028 220627 9140000,2666.0,2668.25,2668.0,2667.0,1001
2674,20181028 221256 7890000,2666.75,2667.75,2667.0,2667.75,1001
3234,20181028 221500 7100000,2667.75,2672.0,2667.75,2671.75,1003
3880,20181028 221754 8670000,2671.0,2675.0,2672.0,2674.5,1001
4391,20181028 222203 7530000,2673.75,2675.5,2674.75,2675.5,1002
4919,20181028 222533 4960000,2674.75,2676.5,2675.5,2675.25,1001
5368,20181028 222650 8980000,2675.0,2679.25,2675.25,2679.0,1002
5938,20181028 222810 6280000,2678.25,2681.5,2679.0,2680.75,1001
6539,20181028 223014 7850000,2679.0,2680.75,2680.75,2680.5,1003
7149,20181028 223236 5820000,2679.5,2681.25,2680.5,2679.75,1001
7774,20181028 223843 1440000,2678.25,2680.75,2679.5,2680.25,1003
8389,20181028 224558 8630000,2678.5,2682.25,2680.25,2681.5,1018
8991,20181028 224852 7500000,2677.25,2681.5,2681.5,2677.5,1006
9546,20181028 225432 8710000,2677.25,2680.5,2677.5,2678.25,1001
10186,20181028 230014 3980000,2676.5,2678.5,2678.25,2677.0,1005
10832,20181028 230309 6250000,2675.25,2678.75,2676.75,2678.5,1001
11317,20181028 230722 9210000,2677.0,2678.75,2678.25,2678.5,1005
11898,20181028 231053 5310000,2678.0,2680.5,2678.5,2678.75,1001
12374,20181028 231343 9490000,2678.25,2679.5,2678.75,2679.0,1018
13017,20181028 232114 3350000,2676.25,2679.0,2679.0,2676.5,1001
13758,20181028 233221 3240000,2676.25,2677.75,2676.5,2676.5,1001
14572,20181028 234153 6440000,2676.5,2678.5,2676.5,2677.5,1001
15286,20181028 234825 8280000,2674.75,2677.5,2677.5,2675.75,1004
15810,20181028 235108 3430000,2675.75,2677.5,2675.75,2676.25,1001
16291,20181028 235342 9490000,2674.25,2676.25,2676.25,2674.25,1001
17009,20181028 235639 1480000,2672.75,2674.25,2674.25,2674.0,1001
17703,20181029 000113 6170000,2673.25,2674.5,2673.75,2674.5,1010
18417,20181029 000338 7690000,2673.75,2675.0,2674.5,2675.0,1001
19136,20181029 000616 2850000,2673.0,2675.25,2675.0,2674.5,1001
19876,20181029 000809 3750000,2674.25,2676.5,2674.5,2675.5,1003
