counter,datetime,low,high,open,close,vol
90000,20181029 081453 6990000,2660.0,2682.25,2667.0,2668.5,142743
180000,20181029 123618 5820000,2662.25,2700.75,2668.5,2695.0,173690
270000,20181029 134919 0850000,2688.5,2698.25,2695.0,2695.0,189843
360000,20181029 142848 9410000,2687.0,2707.0,2695.0,2703.75,195384
450000,20181029 151519 3040000,2685.25,2704.25,2703.75,2687.25,189106
540000,20181029 160718 3630000,2674.0,2694.25,2687.25,2675.25,190820
630000,20181029 164919 3780000,2666.25,2680.5,2675.25,2678.5,203517
720000,20181029 173923 3820000,2667.5,2683.5,2678.5,2678.75,190426
810000,20181029 181612 5230000,2659.25,2683.25,2678.75,2659.25,198829
900000,20181029 185452 7960000,2647.0,2663.5,2659.25,2648.0,193601
990000,20181029 191959 8750000,2624.5,2654.0,2648.0,2634.25,214140
1080000,20181029 194220 9290000,2612.25,2636.25,2634.25,2612.75,201894
1170000,20181029 195453 2380000,2603.0,2637.25,2612.75,2636.5,208563
1260000,20181029 234640 8860000,2631.0,2645.75,2636.5,2640.25,233738
1350000,20181030 084111 9290000,2638.0,2664.25,2640.25,2658.0,138947
1440000,20181030 131416 7380000,2635.25,2661.0,2658.0,2637.25,172334
1530000,20181030 134216 3160000,2633.25,2656.75,2637.25,2653.5,190440
1620000,20181030 140615 9020000,2648.5,2675.25,2653.5,2667.0,192061
1710000,20181030 143727 6830000,2653.5,2672.0,2667.0,2653.75,178723
1800000,20181030 150757 8200000,2645.5,2659.0,2653.75,2657.25,177534
1890000,20181030 154913 0890000,2647.75,2671.5,2657.25,2671.5,175140
1980000,20181030 163532 5970000,2655.75,2673.75,2671.5,2660.0,178889
2070000,20181030 172943 3470000,2644.25,2664.5,2660.0,2645.5,174127
2160000,20181030 181944 4410000,2640.5,2660.5,2645.25,2648.75,187486
2250000,20181030 190435 0390000,2647.5,2671.0,2648.75,2662.25,181507
2340000,20181030 194024 7770000,2662.0,2679.75,2662.25,2674.5,187948
2430000,20181030 203310 4760000,2673.5,2689.0,2674.5,2688.0,266973
2520000,20181101 085820 5620000,2682.0,2721.25,2688.0,2718.75,161893
2610000,20181101 133602 9140000,2715.0,2727.25,2718.75,2723.5,179887
2700000,20181101 140221 1750000,2711.0,2726.0,2723.5,2714.5,182254
2790000,20181101 143020 2650000,2707.75,2725.5,2714.5,2723.0,189299
2880000,20181101 151119 0500000,2721.25,2732.25,2723.0,2727.75,195025
2970000,20181101 161123 1520000,2726.75,2734.75,2727.75,2731.25,196142
3060000,20181101 174709 7030000,2725.5,2736.5,2731.25,2734.25,198187
3150000,20181101 192606 2070000,2728.25,2736.25,2734.25,2734.75,192084
3240000,20181101 203252 7730000,2729.5,2741.25,2734.75,2731.25,276172
3330000,20181102 064744 7610000,2722.75,2764.0,2731.0,2757.25,153617
3420000,20181102 121612 7850000,2753.75,2766.25,2757.25,2757.25,181490
3510000,20181102 133518 3900000,2744.5,2759.75,2757.25,2748.0,200382
3600000,20181102 140713 2500000,2741.75,2756.5,2748.25,2743.0,190664
3690000,20181102 144012 6560000,2725.75,2747.75,2743.0,2726.0,186095
3780000,20181102 151133 8390000,2721.75,2734.25,2726.0,2729.75,184721
3870000,20181102 154829 1870000,2715.25,2731.0,2729.75,2715.75,178693
3960000,20181102 163945 2260000,2708.5,2724.75,2715.75,2709.75,180697
4050000,20181102 172533 8430000,2699.5,2714.5,2709.75,2712.5,182951
4140000,20181102 183005 7650000,2704.0,2728.0,2712.5,2725.25,182871
4230000,20181102 191146 2810000,2711.75,2725.25,2725.25,2722.0,177969
4320000,20181102 195941 3350000,2715.75,2725.0,2722.0,2718.0,213993
4410000,20181105 101656 2570000,2712.75,2724.75,2718.0,2721.0,204290
4500000,20181105 144539 2420000,2719.0,2733.25,2721.0,2727.25,190234
4590000,20181105 153212 5190000,2717.0,2729.75,2727.25,2727.5,190241
4680000,20181105 164556 3160000,2722.75,2734.25,2727.75,2725.25,185054
4770000,20181105 185648 0270000,2724.25,2733.5,2725.25,2732.75,179005
4860000,20181105 202333 8750000,2730.0,2743.75,2732.75,2737.0,203651
4950000,20181106 011425 7460000,2732.25,2745.75,2737.0,2743.25,239875
5040000,20181106 143001 0000000,2729.75,2746.5,2743.25,2736.5,150417
5130000,20181106 150448 4410000,2735.75,2751.75,2736.5,2748.25,184491
5220000,20181106 160937 5230000,2742.0,2750.0,2748.25,2745.5,192525
5310000,20181106 175058 7610000,2742.5,2753.25,2745.5,2750.5,204617
5400000,20181106 195716 4490000,2737.75,2752.5,2750.5,2743.75,201780
5490000,20181106 210433 1830000,2740.75,2759.75,2743.75,2759.0,247045
5580000,20181107 015239 4490000,2744.75,2770.25,2759.0,2766.75,148223
5670000,20181107 075222 1640000,2757.0,2774.5,2766.75,2762.25,137850
5760000,20181107 132049 2500000,2761.0,2787.0,2762.25,2776.75,164635
5850000,20181107 144428 6400000,2773.5,2787.75,2776.75,2782.75,196415
5940000,20181107 152531 6010000,2774.25,2784.0,2782.75,2781.5,177907
6030000,20181107 161828 9410000,2781.5,2793.25,2781.5,2790.75,193894
6120000,20181107 174318 7920000,2788.0,2798.75,2790.75,2795.25,204920
6210000,20181107 193211 9600000,2793.75,2804.75,2795.25,2804.5,194718
6300000,20181107 204514 3240000,2802.0,2812.25,2804.5,2810.5,219406
6390000,20181108 022510 2140000,2807.5,2818.0,2810.5,2813.0,268314
6480000,20181108 133006 9210000,2801.5,2816.5,2813.0,2807.25,157235
6570000,20181108 145900 5230000,2803.75,2813.25,2807.25,2811.75,182621
6660000,20181108 160558 4210000,2804.5,2813.25,2811.75,2811.25,187170
6750000,20181108 182811 0620000,2805.75,2815.25,2811.25,2807.0,194348
6840000,20181108 194145 4840000,2796.5,2812.25,2807.0,2797.0,176774
6930000,20181108 204118 9640000,2795.0,2805.5,2797.0,2800.0,181967
7020000,20181109 041905 0070000,2799.75,2810.75,2800.0,2806.25,217882
7110000,20181109 142402 6090000,2789.5,2811.25,2806.25,2794.25,165348
7200000,20181109 150018 6480000,2784.0,2795.75,2794.25,2788.5,187159
7290000,20181109 154613 3510000,2778.25,2789.0,2788.5,2787.25,184876
7380000,20181109 164152 0190000,2777.25,2787.75,2787.25,2780.75,189833
7470000,20181109 175611 4170000,2771.0,2783.0,2780.5,2776.75,188742
7560000,20181109 193644 1670000,2764.5,2777.75,2776.75,2773.0,203056
7650000,20181109 203039 0000000,2772.25,2788.5,2773.0,2786.5,201060
7740000,20181109 210334 2180000,2778.25,2791.25,2786.5,2779.25,250304
