counter,datetime,low,high,open,close,vol
60000,20181029 042259 4290000,2662.25,2682.25,2667.0,2668.5,94010
120000,20181029 095203 6600000,2660.0,2681.0,2668.5,2680.25,101668
180000,20181029 123618 5820000,2678.25,2700.75,2680.0,2695.0,120755
240000,20181029 133949 6670000,2691.25,2698.25,2695.0,2691.25,130261
300000,20181029 140019 0740000,2687.0,2698.75,2691.25,2698.5,119396
360000,20181029 142848 9410000,2697.0,2707.0,2698.5,2703.75,135570
420000,20181029 150009 9640000,2689.5,2704.25,2703.75,2698.0,126428
480000,20181029 153144 6090000,2682.5,2698.75,2698.0,2687.75,126423
540000,20181029 160718 3630000,2674.0,2694.25,2687.75,2675.25,127075
600000,20181029 163201 0660000,2666.25,2678.25,2675.25,2670.5,138290
660000,20181029 170322 3940000,2667.5,2681.25,2670.5,2680.25,125898
720000,20181029 173923 3820000,2672.25,2683.5,2680.25,2678.75,129755
780000,20181029 181010 7380000,2667.75,2683.25,2678.75,2668.75,130876
840000,20181029 182734 0780000,2656.25,2669.75,2668.75,2659.25,129038
900000,20181029 185452 7960000,2647.0,2663.0,2659.25,2648.0,132516
960000,20181029 191328 1250000,2631.5,2654.0,2648.0,2632.0,138922
1020000,20181029 192813 7770000,2624.5,2636.25,2632.0,2628.75,143838
1080000,20181029 194220 9290000,2612.25,2633.0,2628.75,2612.75,133274
1140000,20181029 195009 1440000,2603.0,2632.25,2612.75,2627.5,140234
1200000,20181029 195901 1710000,2627.25,2642.75,2627.5,2638.5,139665
1260000,20181029 234640 8860000,2636.25,2645.75,2638.5,2640.25,162402
1320000,20181030 052242 4640000,2638.0,2664.25,2640.25,2662.25,90170
1380000,20181030 102621 8120000,2642.75,2663.0,2662.25,2655.0,102206
1440000,20181030 131416 7380000,2635.25,2661.0,2655.0,2637.25,118905
1500000,20181030 133703 5850000,2633.25,2647.25,2637.25,2642.0,129399
1560000,20181030 134947 5390000,2637.0,2656.75,2642.0,2653.25,123505
1620000,20181030 140615 9020000,2653.0,2675.25,2653.25,2667.0,129597
1680000,20181030 142710 5780000,2661.0,2672.0,2667.0,2664.0,119640
1740000,20181030 144756 6360000,2646.5,2666.75,2664.0,2651.5,118223
1800000,20181030 150757 8200000,2645.5,2659.0,2651.75,2657.25,118394
1860000,20181030 153312 8040000,2647.75,2666.5,2657.25,2665.0,116603
1920000,20181030 160241 8430000,2659.25,2673.75,2664.75,2663.0,119210
1980000,20181030 163532 5970000,2655.75,2668.25,2663.25,2660.0,118216
2040000,20181030 171407 6640000,2646.25,2664.5,2660.0,2646.5,115602
2100000,20181030 174406 1560000,2640.5,2655.75,2646.5,2653.0,123430
2160000,20181030 181944 4410000,2646.0,2660.5,2653.0,2648.75,122581
2220000,20181030 185258 7500000,2647.5,2665.25,2648.75,2663.25,117837
2280000,20181030 191745 4490000,2659.25,2676.0,2663.25,2670.0,125877
2340000,20181030 194024 7770000,2666.25,2679.75,2670.0,2674.5,125741
2400000,20181030 200008 2030000,2673.5,2686.5,2674.5,2684.5,188745
2460000,20181031 012436 3900000,2681.25,2691.75,2684.5,2689.25,138372
2520000,20181101 085820 5620000,2685.0,2721.25,2689.25,2718.75,101749
2580000,20181101 132314 7810000,2715.0,2727.25,2718.75,2719.0,116575
2640000,20181101 134629 2180000,2717.5,2726.0,2719.25,2717.75,119994
2700000,20181101 140221 1750000,2711.0,2723.25,2717.75,2714.5,125572
2760000,20181101 141705 5500000,2707.75,2725.5,2714.5,2722.5,126776
2820000,20181101 144114 8120000,2715.75,2731.25,2722.5,2726.0,132532
2880000,20181101 151119 0500000,2724.5,2732.25,2726.0,2727.75,125016
2940000,20181101 154722 4450000,2726.75,2734.75,2727.75,2729.75,128745
3000000,20181101 163622 2500000,2725.5,2734.0,2729.75,2729.25,133783
3060000,20181101 174709 7030000,2727.0,2736.5,2729.25,2734.25,131801
3120000,20181101 185328 9490000,2728.25,2735.5,2734.25,2733.25,128319
3180000,20181101 194645 2340000,2731.5,2741.25,2733.25,2738.0,135242
3240000,20181101 203252 7730000,2729.5,2741.25,2738.0,2731.25,204695
3300000,20181102 045316 0780000,2722.75,2747.0,2731.0,2745.25,101744
3360000,20181102 083644 6400000,2745.0,2764.25,2745.25,2762.25,110131
3420000,20181102 121612 7850000,2753.75,2766.25,2762.25,2757.25,123232
3480000,20181102 132832 2340000,2744.5,2759.75,2757.25,2751.0,131634
3540000,20181102 134426 3780000,2746.25,2756.5,2751.0,2755.75,134304
3600000,20181102 140713 2500000,2741.75,2756.0,2755.75,2743.0,125108
3660000,20181102 142941 0030000,2735.0,2747.75,2743.0,2736.0,124212
3720000,20181102 144915 4490000,2721.75,2736.5,2736.0,2727.75,124376
3780000,20181102 151133 8390000,2723.25,2734.25,2727.75,2729.75,122228
3840000,20181102 153250 7570000,2717.5,2731.0,2729.75,2724.75,119226
3900000,20181102 160519 5820000,2715.25,2725.0,2724.75,2720.75,117199
3960000,20181102 163945 2260000,2708.5,2723.75,2720.75,2709.75,122965
4020000,20181102 170911 0500000,2699.5,2713.5,2709.75,2705.25,120177
4080000,20181102 175000 4570000,2704.5,2717.5,2705.25,2715.0,122245
4140000,20181102 183005 7650000,2704.0,2728.0,2715.0,2725.25,123400
4200000,20181102 185555 3390000,2715.0,2725.25,2725.25,2718.5,122021
4260000,20181102 192914 6830000,2711.75,2725.0,2718.5,2719.5,114769
4320000,20181102 195941 3350000,2715.75,2724.75,2719.5,2718.0,155172
4380000,20181105 035242 2070000,2712.75,2724.75,2718.0,2716.25,148819
4440000,20181105 132851 7530000,2714.0,2729.5,2716.25,2722.25,121623
4500000,20181105 144539 2420000,2720.5,2733.25,2722.25,2727.25,124082
4560000,20181105 151830 0820000,2717.5,2729.75,2727.25,2720.25,121866
4620000,20181105 155244 0460000,2717.0,2728.25,2720.25,2726.5,129136
4680000,20181105 164556 3160000,2724.25,2734.25,2726.5,2725.25,124293
4740000,20181105 180940 0700000,2724.25,2732.5,2725.25,2727.0,117864
4800000,20181105 192558 0350000,2725.0,2740.5,2727.0,2739.75,130559
4860000,20181105 202333 8750000,2737.0,2743.75,2739.75,2737.0,134233
4920000,20181105 205957 0310000,2732.25,2740.25,2737.0,2737.25,155023
4980000,20181106 080652 6950000,2736.5,2746.5,2737.25,2740.25,128658
5040000,20181106 143001 0000000,2729.75,2740.5,2740.25,2736.5,106611
5100000,20181106 144829 5390000,2735.75,2751.25,2736.5,2750.0,120874
5160000,20181106 152502 1360000,2745.0,2751.75,2750.0,2750.0,127145
5220000,20181106 160937 5230000,2742.0,2750.0,2750.0,2745.5,128997
5280000,20181106 170729 5070000,2742.5,2751.25,2745.5,2750.5,136877
5340000,20181106 184739 5700000,2746.25,2753.25,2750.5,2749.75,138648
5400000,20181106 195716 4490000,2737.75,2751.5,2749.75,2743.75,130872
5460000,20181106 205440 3470000,2740.75,2753.5,2743.75,2752.5,140716
5520000,20181107 004131 1950000,2747.25,2761.0,2752.5,2748.75,169044
5580000,20181107 015239 4490000,2744.75,2770.25,2748.75,2766.75,85508
5640000,20181107 042211 2500000,2757.0,2774.5,2766.75,2764.25,94080
5700000,20181107 090148 9490000,2758.5,2780.5,2764.25,2778.25,98088
5760000,20181107 132049 2500000,2774.0,2787.0,2778.25,2776.75,110317
5820000,20181107 143740 4680000,2773.5,2784.25,2776.75,2784.0,129588
5880000,20181107 145714 6910000,2777.25,2787.75,2784.0,2779.25,126926
5940000,20181107 152531 6010000,2774.25,2782.5,2779.25,2781.5,117808
6000000,20181107 155641 5420000,2781.5,2792.75,2781.5,2790.0,128854
6060000,20181107 164347 0310000,2787.0,2793.25,2790.0,2790.75,132253
6120000,20181107 174318 7920000,2788.75,2798.75,2790.75,2795.25,137707
6180000,20181107 190219 6520000,2793.75,2801.25,2795.25,2797.0,127325
6240000,20181107 195429 4410000,2797.0,2807.75,2797.0,2803.25,139390
6300000,20181107 204514 3240000,2803.0,2812.25,2803.25,2810.5,147409
6360000,20181107 211106 1320000,2807.5,2816.25,2810.5,2815.75,206421
6420000,20181108 081616 0820000,2809.25,2818.0,2815.75,2815.0,110614
6480000,20181108 133006 9210000,2801.5,2816.0,2815.0,2807.25,108514
6540000,20181108 144223 0660000,2803.75,2811.0,2807.25,2810.5,119532
6600000,20181108 151645 0820000,2804.5,2813.25,2810.5,2806.0,128510
6660000,20181108 160558 4210000,2804.5,2811.75,2806.0,2811.25,121749
6720000,20181108 173216 5070000,2807.25,2815.25,2811.25,2811.75,123853
6780000,20181108 190507 8200000,2801.0,2814.0,2811.75,2804.5,130370
6840000,20181108 194145 4840000,2796.5,2812.25,2804.5,2797.0,116899
6900000,20181108 202017 0890000,2795.0,2805.5,2797.0,2804.25,117894
6960000,20181108 205934 9140000,2796.5,2806.5,2804.25,2805.75,137597
7020000,20181109 041905 0070000,2799.75,2810.75,2805.75,2806.25,144358
7080000,20181109 121117 6320000,2789.5,2811.25,2806.25,2794.0,108204
7140000,20181109 143630 2810000,2790.75,2797.5,2794.0,2792.25,118621
7200000,20181109 150018 6480000,2784.0,2793.0,2792.25,2788.5,125682
7260000,20181109 152609 6990000,2778.25,2789.0,2788.5,2783.75,123294
7320000,20181109 160533 7180000,2777.75,2788.75,2783.75,2777.75,123080
7380000,20181109 164152 0190000,2777.25,2786.0,2777.75,2780.75,128335
7440000,20181109 172352 0350000,2771.0,2783.0,2780.5,2774.75,128695
7500000,20181109 183338 0740000,2770.5,2780.5,2774.75,2771.25,123087
7560000,20181109 193644 1670000,2764.5,2774.0,2771.25,2773.0,140016
7620000,20181109 201415 1250000,2772.25,2782.75,2773.0,2781.75,132271
7680000,20181109 204527 1170000,2780.0,2791.25,2781.75,2789.25,141269
7740000,20181109 210334 2180000,2778.25,2790.5,2789.25,2779.25,177824
